Date,Product,Channel,Platform,Spend,Lead,Clicks,Impressions,CPL,CTR,Conversion_Rate
2025-01-04,Life,Google,Other,166.67000000000002,10.0,118.0,946,16.667,12.473572938689218,8.47457627118644
2025-01-04,Sucrose,Facebook,Lead Form,93.67,13.0,0.0,8449,7.205384615384616,0.0,1300.0
2025-01-04,Sucrose,Facebook,Lead Web,186.73,0.0,0.0,33782,186.73,0.0,0.0
2025-01-05,Dairy,Facebook,Lead Form,105.36,14.0,0.0,3809,7.525714285714286,0.0,1400.0
2025-01-05,Dairy,Facebook,Lead Web,1.69,0.0,0.0,121,1.69,0.0,0.0
2025-01-05,Life,Facebook,Lead Form,95.73,9.0,0.0,5315,10.636666666666667,0.0,900.0
2025-01-05,Life,Facebook,Lead Web,195.38,0.0,0.0,24262,195.38,0.0,0.0
2025-01-05,Life,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-05,Life,Google,Other,150.9,3.0,105.0,963,50.300000000000004,10.903426791277258,2.857142857142857
2025-01-05,Sucrose,Facebook,Lead Form,95.53,10.0,0.0,9498,9.553,0.0,1000.0
2025-01-05,Sucrose,Facebook,Lead Web,133.76,0.0,0.0,21063,133.76,0.0,0.0
2025-01-06,Dairy,Facebook,Lead Form,90.38,15.0,0.0,3508,6.025333333333333,0.0,1500.0
2025-01-06,Dairy,Facebook,Lead Web,0.32,0.0,0.0,70,0.32,0.0,0.0
2025-01-06,Life,Facebook,Lead Form,91.31,15.0,0.0,4823,6.0873333333333335,0.0,1500.0
2025-01-06,Life,Facebook,Lead Web,174.27,0.0,0.0,22911,174.27,0.0,0.0
2025-01-06,Life,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-06,Life,Google,Other,225.82999999999998,4.0,120.0,1137,56.457499999999996,10.554089709762533,3.3333333333333335
2025-01-06,Sucrose,Facebook,Lead Form,87.52,11.0,0.0,8716,7.956363636363636,0.0,1100.0
2025-01-06,Sucrose,Facebook,Lead Web,86.15,0.0,0.0,15007,86.15,0.0,0.0
2025-01-07,Dairy,Facebook,Lead Form,89.01,11.0,0.0,3564,8.091818181818182,0.0,1100.0
2025-01-07,Dairy,Facebook,Lead Web,24.65,0.0,0.0,3095,24.65,0.0,0.0
2025-01-07,Dairy,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-07,Life,Facebook,Lead Form,90.65,15.0,0.0,3975,6.043333333333334,0.0,1500.0
2025-01-07,Life,Facebook,Lead Web,179.92,0.0,0.0,25467,179.92,0.0,0.0
2025-01-07,Life,Google,Other,197.57,7.0,130.0,1438,28.224285714285713,9.040333796940194,5.384615384615385
2025-01-07,Sucrose,Facebook,Lead Form,88.57,18.0,0.0,8245,4.920555555555556,0.0,1800.0
2025-01-07,Sucrose,Facebook,Lead Web,65.46,0.0,0.0,11041,65.46,0.0,0.0
2025-01-07,Sucrose,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-08,Dairy,Facebook,Lead Form,86.47,11.0,0.0,3510,7.86090909090909,0.0,1100.0
2025-01-08,Dairy,Facebook,Lead Web,12.88,0.0,0.0,1213,12.88,0.0,0.0
2025-01-08,Life,Facebook,Lead Form,87.45,14.0,0.0,4717,6.246428571428572,0.0,1400.0
2025-01-08,Life,Facebook,Lead Web,178.63,0.0,0.0,23301,178.63,0.0,0.0
2025-01-08,Life,Google,Other,229.1,4.0,123.0,1193,57.275,10.310142497904442,3.2520325203252036
2025-01-08,Sucrose,Facebook,Lead Form,89.46,12.0,0.0,7416,7.454999999999999,0.0,1200.0
2025-01-08,Sucrose,Facebook,Lead Web,72.32,0.0,0.0,10571,72.32,0.0,0.0
2025-01-09,Dairy,Facebook,Lead Form,88.34,12.0,0.0,2913,7.361666666666667,0.0,1200.0
2025-01-09,Dairy,Facebook,Lead Web,42.56,0.0,0.0,4479,42.56,0.0,0.0
2025-01-09,Life,Facebook,Lead Form,87.68,12.0,0.0,4973,7.3066666666666675,0.0,1200.0
2025-01-09,Life,Facebook,Lead Web,176.73,0.0,0.0,23311,176.73,0.0,0.0
2025-01-09,Life,Google,Other,137.88,3.0,93.0,1097,45.96,8.477666362807659,3.225806451612903
2025-01-09,Sucrose,Facebook,Lead Form,88.36,14.0,0.0,6464,6.311428571428571,0.0,1400.0
2025-01-09,Sucrose,Facebook,Lead Web,60.96,0.0,0.0,9429,60.96,0.0,0.0
2025-01-10,Dairy,Facebook,Lead Form,90.57,9.0,0.0,3507,10.063333333333333,0.0,900.0
2025-01-10,Dairy,Facebook,Lead Web,47.68,0.0,0.0,5452,47.68,0.0,0.0
2025-01-10,Life,Facebook,Lead Form,88.22,16.0,0.0,4190,5.51375,0.0,1600.0
2025-01-10,Life,Facebook,Lead Web,186.1,0.0,0.0,27129,186.1,0.0,0.0
2025-01-10,Life,Google,Other,2.6399999999999997,0.0,2.0,38,2.6399999999999997,5.263157894736842,0.0
2025-01-10,Sucrose,Facebook,Lead Form,91.4,19.0,0.0,7151,4.810526315789474,0.0,1900.0
2025-01-10,Sucrose,Facebook,Lead Web,17.15,0.0,0.0,2389,17.15,0.0,0.0
2025-01-11,Dairy,Facebook,Lead Form,95.96,16.0,0.0,3408,5.9975,0.0,1600.0
2025-01-11,Dairy,Facebook,Lead Web,42.54,0.0,0.0,3981,42.54,0.0,0.0
2025-01-11,Life,Facebook,Lead Form,105.64,17.0,0.0,5388,6.214117647058823,0.0,1700.0
2025-01-11,Life,Facebook,Lead Web,206.4,0.0,0.0,24161,206.4,0.0,0.0
2025-01-11,Sucrose,Facebook,Lead Form,94.82,26.0,0.0,7276,3.6469230769230765,0.0,2600.0
2025-01-11,Sucrose,Facebook,Lead Web,66.56,0.0,0.0,10029,66.56,0.0,0.0
2025-01-12,Dairy,Facebook,Lead Form,68.57,11.0,0.0,2183,6.233636363636363,0.0,1100.0
2025-01-12,Dairy,Facebook,Lead Web,16.78,0.0,0.0,1901,16.78,0.0,0.0
2025-01-12,Life,Facebook,Lead Form,301.97,30.0,0.0,20626,10.065666666666667,0.0,3000.0
2025-01-12,Life,Facebook,Lead Web,336.89,0.0,0.0,39650,336.89,0.0,0.0
2025-01-12,Sucrose,Facebook,Lead Form,70.33,10.0,0.0,5058,7.0329999999999995,0.0,1000.0
2025-01-12,Sucrose,Facebook,Lead Web,35.64,0.0,0.0,4881,35.64,0.0,0.0
2025-01-13,Dairy,Facebook,Lead Form,55.96,7.0,0.0,1849,7.994285714285715,0.0,700.0
2025-01-13,Dairy,Facebook,Lead Web,15.15,0.0,0.0,1439,15.15,0.0,0.0
2025-01-13,Life,Facebook,Lead Form,246.97,14.0,0.0,13577,17.640714285714285,0.0,1400.0
2025-01-13,Life,Facebook,Lead Web,231.35,0.0,0.0,27857,231.35,0.0,0.0
2025-01-13,Sucrose,Facebook,Lead Form,55.31,7.0,0.0,3359,7.901428571428572,0.0,700.0
2025-01-13,Sucrose,Facebook,Lead Web,25.33,0.0,0.0,3231,25.33,0.0,0.0
2025-01-14,Dairy,Facebook,Lead Form,63.43,9.0,0.0,2345,7.047777777777778,0.0,900.0
2025-01-14,Dairy,Facebook,Lead Web,23.35,0.0,0.0,1848,23.35,0.0,0.0
2025-01-14,Life,Facebook,Lead Form,192.75,20.0,0.0,8441,9.6375,0.0,2000.0
2025-01-14,Life,Facebook,Lead Web,199.9,0.0,0.0,22900,199.9,0.0,0.0
2025-01-14,Sucrose,Facebook,Lead Form,65.12,13.0,0.0,4542,5.009230769230769,0.0,1300.0
2025-01-14,Sucrose,Facebook,Lead Web,31.66,0.0,0.0,3610,31.66,0.0,0.0
2025-01-15,Dairy,Facebook,Lead Form,29.26,4.0,0.0,834,7.315,0.0,400.0
2025-01-15,Dairy,Facebook,Lead Web,12.35,0.0,0.0,791,12.35,0.0,0.0
2025-01-15,Life,Facebook,Lead Form,78.78,8.0,0.0,2728,9.8475,0.0,800.0
2025-01-15,Life,Facebook,Lead Web,75.14,0.0,0.0,6043,75.14,0.0,0.0
2025-01-15,Sucrose,Facebook,Lead Form,27.59,5.0,0.0,1877,5.518,0.0,500.0
2025-01-15,Sucrose,Facebook,Lead Web,15.5,0.0,0.0,1523,15.5,0.0,0.0
2025-01-16,Dairy,Facebook,Lead Form,22.12,2.0,0.0,827,11.06,0.0,200.0
2025-01-16,Dairy,Facebook,Lead Web,18.63,0.0,0.0,2036,18.63,0.0,0.0
2025-01-16,Life,Facebook,Lead Form,92.4,10.0,0.0,6037,9.24,0.0,1000.0
2025-01-16,Life,Facebook,Lead Web,108.22,0.0,0.0,15192,108.22,0.0,0.0
2025-01-16,Life,Google,Lead Form,0.0,0.0,0.0,8,0.0,0.0,0.0
2025-01-16,Life,Google,Lead Web,1.27,1.0,4.0,105,1.27,3.8095238095238098,25.0
2025-01-16,Life,Google,Other,134.08,0.0,14.0,188,134.08,7.446808510638298,0.0
2025-01-16,Sucrose,Facebook,Lead Form,21.19,8.0,0.0,1529,2.64875,0.0,800.0
2025-01-16,Sucrose,Facebook,Lead Web,45.36,0.0,0.0,5977,45.36,0.0,0.0
2025-01-17,Dairy,Facebook,Lead Form,63.87,9.0,0.0,1801,7.096666666666667,0.0,900.0
2025-01-17,Dairy,Facebook,Lead Web,32.83,0.0,0.0,2793,32.83,0.0,0.0
2025-01-17,Life,Facebook,Lead Form,281.23,31.0,0.0,15708,9.071935483870968,0.0,3100.0
2025-01-17,Life,Facebook,Lead Web,195.24,0.0,0.0,21762,195.24,0.0,0.0
2025-01-17,Life,Google,Lead Form,0.0,0.0,0.0,48,0.0,0.0,0.0
2025-01-17,Life,Google,Lead Web,27.36,4.0,40.0,2774,6.84,1.4419610670511895,10.0
2025-01-17,Life,Google,Other,149.94,2.0,23.0,135,74.97,17.037037037037038,8.695652173913043
2025-01-17,Sucrose,Facebook,Lead Form,65.34,13.0,0.0,4134,5.026153846153846,0.0,1300.0
2025-01-17,Sucrose,Facebook,Lead Web,95.0,0.0,0.0,11400,95.0,0.0,0.0
2025-01-18,Dairy,Facebook,Lead Form,66.4,9.0,0.0,2064,7.377777777777778,0.0,900.0
2025-01-18,Dairy,Facebook,Lead Web,34.55,0.0,0.0,3504,34.55,0.0,0.0
2025-01-18,Life,Facebook,Lead Form,223.23,20.0,0.0,11856,11.1615,0.0,2000.0
2025-01-18,Life,Facebook,Lead Web,211.57,0.0,0.0,23312,211.57,0.0,0.0
2025-01-18,Life,Google,Lead Form,19.59,2.0,14.0,209,9.795,6.698564593301436,14.285714285714285
2025-01-18,Life,Google,Lead Web,203.64,7.01,221.0,17076,29.049928673323823,1.294214101663153,3.1719457013574663
2025-01-18,Life,Google,Other,372.44,3.0,80.0,585,124.14666666666666,13.675213675213676,3.75
2025-01-18,Sucrose,Facebook,Lead Form,70.18,12.0,0.0,5012,5.848333333333334,0.0,1200.0
2025-01-18,Sucrose,Facebook,Lead Web,111.57,0.0,0.0,16935,111.57,0.0,0.0
2025-01-19,Dairy,Facebook,Lead Form,73.88,7.0,0.0,2164,10.554285714285713,0.0,700.0
